HOMETEAM,AWAYTEAM,HOMESCORE,AWAYSCORE
Arsenal,Everton,5,1
Brentford,Leeds,1,2
Brighton,West Ham,3,1
Burnley,Newcastle,1,2
Chelsea,Watford,2,1
Crystal Palace,Manchester Utd,1,0
Leicester,Southampton,4,1
Liverpool,Wolves,3,1
Manchester City,Aston Villa,3,2
Norwich,Tottenham,0,5
Aston Villa,Burnley,1,1
Chelsea,Leicester,1,1
Everton,Crystal Palace,3,2
Southampton,Liverpool,1,2
Newcastle,Arsenal,2,0
Everton,Brentford,2,3
Aston Villa,Crystal Palace,1,1
Leeds,Brighton,1,1
Watford,Leicester,1,5
West Ham,Manchester City,2,2
Wolves,Norwich,1,1
Tottenham,Burnley,1,0
Tottenham,Arsenal,3,0
Wolves,Manchester City,1,5
Leicester,Norwich,3,0
Watford,Everton,0,0
Leeds,Chelsea,0,3
Aston Villa,Liverpool,1,2
Manchester City,Newcastle,5,0
Arsenal,Leeds,2,1
Leicester,Everton,1,2
Norwich,West Ham,0,4
Liverpool,Tottenham,1,1
Brighton,Manchester Utd,4,0
Brentford,Southampton,3,0
Burnley,Aston Villa,1,3
Chelsea,Wolves,2,2
Crystal Palace,Watford,1,0
Manchester Utd,Brentford,3,0
West Ham,Arsenal,1,2
Everton,Chelsea,1,0
Tottenham,Leicester,3,1
Leeds,Manchester City,0,4
Aston Villa,Norwich,2,0
Southampton,Crystal Palace,1,2
Watford,Burnley,1,2
Wolves,Brighton,0,3
Newcastle,Liverpool,0,1
Manchester Utd,Chelsea,1,1
Crystal Palace,Leeds,0,0
Liverpool,Everton,2,0
Brighton,Southampton,2,2
Burnley,Wolves,1,0
Chelsea,West Ham,1,0
Brentford,Tottenham,0,0
Leicester,Aston Villa,0,0
Manchester City,Watford,5,1
Norwich,Newcastle,0,3
Arsenal,Manchester Utd,3,1
Burnley,Southampton,2,0
Manchester City,Brighton,3,0
Everton,Leicester,1,1
Chelsea,Arsenal,2,4
Newcastle,Crystal Palace,1,0
Liverpool,Manchester Utd,4,0
Newcastle,Leicester,2,1
West Ham,Burnley,1,1
Manchester Utd,Norwich,3,2
Southampton,Arsenal,1,0
Watford,Brentford,1,2
Tottenham,Brighton,0,1
Manchester City,Liverpool,2,2
Brentford,West Ham,2,0
Leicester,Crystal Palace,2,1
Norwich,Burnley,2,0
Aston Villa,Tottenham,0,4
Southampton,Chelsea,0,6
Watford,Leeds,0,3
Arsenal,Brighton,1,2
Everton,Manchester Utd,1,0
Newcastle,Wolves,1,0
Burnley,Everton,3,2
Crystal Palace,Arsenal,3,0
Tottenham,Newcastle,5,1
West Ham,Everton,2,1
Manchester Utd,Leicester,1,1
Burnley,Manchester City,0,2
Chelsea,Brentford,1,4
Leeds,Southampton,1,1
Brighton,Norwich,0,0
Wolves,Aston Villa,2,1
Liverpool,Watford,2,0
Leicester,Brentford,2,1
Tottenham,West Ham,3,1
Aston Villa,Arsenal,0,1
Wolves,Leeds,2,3
Everton,Newcastle,1,0
Arsenal,Liverpool,0,2
Brighton,Tottenham,0,2
Crystal Palace,Manchester City,0,0
Arsenal,Leicester,2,0
Chelsea,Newcastle,1,0
Everton,Wolves,0,1
Leeds,Norwich,2,1
Southampton,Watford,1,2
West Ham,Aston Villa,2,1
Manchester Utd,Tottenham,3,2
Brentford,Burnley,2,0
Brighton,Liverpool,0,2
Leeds,Aston Villa,0,3
Wolves,Watford,4,0
Southampton,Newcastle,1,2
Norwich,Chelsea,1,3
Tottenham,Everton,5,0
Manchester City,Manchester Utd,4,1
Watford,Arsenal,2,3
Burnley,Chelsea,0,4
Liverpool,West Ham,1,0
Newcastle,Brighton,2,1
Aston Villa,Southampton,4,0
Norwich,Brentford,1,3
Wolves,Crystal Palace,0,2
Leicester,Leeds,1,0
Burnley,Leicester,0,2
West Ham,Wolves,1,0
Everton,Manchester City,0,1
Brentford,Newcastle,0,2
Brighton,Aston Villa,0,2
Crystal Palace,Burnley,1,1
Manchester Utd,Watford,0,0
Leeds,Tottenham,0,4
Southampton,Norwich,2,0
Arsenal,Wolves,2,1
Liverpool,Leeds,6,0
Burnley,Tottenham,1,0
Watford,Crystal Palace,1,4
Wolves,Leicester,2,1
Leeds,Manchester Utd,2,4
Manchester City,Tottenham,2,3
Arsenal,Brentford,2,1
Aston Villa,Watford,0,1
Brighton,Burnley,0,3
Crystal Palace,Chelsea,0,1
Liverpool,Norwich,3,1
Southampton,Everton,2,0
West Ham,Newcastle,1,1
Manchester Utd,Brighton,2,0
Leicester,West Ham,2,2
Burnley,Liverpool,0,1
Newcastle,Aston Villa,1,0
Tottenham,Wolves,0,2
Norwich,Manchester City,0,4
Everton,Leeds,3,0
Brentford,Crystal Palace,0,0
Watford,Brighton,0,2
Manchester Utd,Southampton,1,1
Wolves,Arsenal,0,1
Liverpool,Leicester,2,0
Aston Villa,Leeds,3,3
Norwich,Crystal Palace,1,1
Tottenham,Southampton,2,3
Manchester City,Brentford,2,0
Burnley,Manchester Utd,1,1
West Ham,Watford,1,0
Newcastle,Everton,3,1
Burnley,Watford,0,0
Chelsea,Tottenham,2,0
Arsenal,Burnley,0,0
Leicester,Brighton,1,1
Crystal Palace,Liverpool,1,3
Southampton,Manchester City,1,1
Brentford,Wolves,1,2
Leeds,Newcastle,0,1
Manchester Utd,West Ham,1,0
Everton,Aston Villa,0,1
Watford,Norwich,0,3
Brentford,Manchester Utd,1,3
Leicester,Tottenham,2,3
Brighton,Chelsea,1,1
Liverpool,Brentford,3,0
West Ham,Leeds,2,3
Aston Villa,Manchester Utd,2,2
Newcastle,Watford,1,1
Norwich,Everton,2,1
Wolves,Southampton,3,1
Manchester City,Chelsea,1,0
Brighton,Crystal Palace,1,1
West Ham,Norwich,2,0
Southampton,Brentford,4,1
Manchester Utd,Wolves,0,1
Chelsea,Liverpool,2,2
Brentford,Aston Villa,2,1
Everton,Brighton,2,3
Leeds,Burnley,3,1
Crystal Palace,West Ham,2,3
Watford,Tottenham,0,1
Arsenal,Manchester City,1,2
Manchester Utd,Burnley,3,1
Brentford,Manchester City,0,1
Chelsea,Brighton,1,1
Leicester,Liverpool,1,0
Crystal Palace,Norwich,3,0
Southampton,Tottenham,1,1
Watford,West Ham,1,4
Newcastle,Manchester Utd,1,1
Brighton,Brentford,2,0
Aston Villa,Chelsea,1,3
Manchester City,Leicester,6,3
Norwich,Arsenal,0,5
Tottenham,Crystal Palace,3,0
West Ham,Southampton,2,3
Tottenham,Liverpool,2,2
Newcastle,Manchester City,0,4
Wolves,Chelsea,0,0
Leeds,Arsenal,1,4
Liverpool,Newcastle,3,1
Chelsea,Everton,1,1
Arsenal,West Ham,2,0
Brighton,Wolves,0,1
Crystal Palace,Southampton,2,2
Manchester City,Leeds,7,0
Norwich,Aston Villa,0,2
Crystal Palace,Everton,3,1
Burnley,West Ham,0,0
Leicester,Newcastle,4,0
Chelsea,Leeds,3,2
Arsenal,Southampton,3,0
Liverpool,Aston Villa,1,0
Norwich,Manchester Utd,0,1
Manchester City,Wolves,1,0
Brentford,Watford,2,1
Everton,Arsenal,2,1
Aston Villa,Leicester,2,1
Leeds,Brentford,2,2
Manchester Utd,Crystal Palace,1,0
Tottenham,Norwich,3,0
Watford,Manchester City,1,3
Newcastle,Burnley,1,0
Southampton,Brighton,1,1
Wolves,Liverpool,0,1
West Ham,Chelsea,3,2
Manchester Utd,Arsenal,3,2
Tottenham,Brentford,2,0
Everton,Liverpool,1,4
Aston Villa,Manchester City,1,2
Watford,Chelsea,1,2
West Ham,Brighton,1,1
Wolves,Burnley,0,0
Southampton,Leicester,2,2
Leeds,Crystal Palace,1,0
Newcastle,Norwich,1,1
Chelsea,Manchester Utd,1,1
Brentford,Everton,1,0
Leicester,Watford,4,2
Manchester City,West Ham,2,1
Brighton,Leeds,0,0
Crystal Palace,Aston Villa,1,2
Liverpool,Southampton,4,0
Norwich,Wolves,0,0
Arsenal,Newcastle,2,0
Tottenham,Leeds,2,1
Manchester City,Everton,3,0
Liverpool,Arsenal,4,0
Burnley,Crystal Palace,3,3
Newcastle,Brentford,3,3
Aston Villa,Brighton,2,0
Norwich,Southampton,2,1
Watford,Manchester Utd,4,1
Wolves,West Ham,1,0
Leicester,Chelsea,0,3
West Ham,Liverpool,3,2
Arsenal,Watford,1,0
Everton,Tottenham,0,0
Leeds,Leicester,1,1
Brighton,Newcastle,1,1
Brentford,Norwich,1,2
Chelsea,Burnley,1,1
Crystal Palace,Wolves,2,0
Manchester Utd,Manchester City,0,2
Southampton,Aston Villa,1,0
Wolves,Everton,2,1
Aston Villa,West Ham,1,4
Norwich,Leeds,1,2
Tottenham,Manchester Utd,0,3
Burnley,Brentford,3,1
Liverpool,Brighton,2,2
Manchester City,Crystal Palace,0,2
Newcastle,Chelsea,0,3
Watford,Southampton,0,1
Leicester,Arsenal,0,2
Manchester Utd,Liverpool,0,5
Brentford,Leicester,1,2
West Ham,Tottenham,1,0
Brighton,Manchester City,1,4
Crystal Palace,Newcastle,1,1
Everton,Watford,2,5
Leeds,Wolves,1,1
Southampton,Burnley,2,2
Chelsea,Norwich,7,0
Arsenal,Aston Villa,3,1
Arsenal,Crystal Palace,2,2
Newcastle,Tottenham,2,3
Everton,West Ham,0,1
Brentford,Chelsea,0,1
Aston Villa,Wolves,2,3
Leicester,Manchester Utd,4,2
Manchester City,Burnley,2,0
Norwich,Brighton,0,0
Southampton,Leeds,1,0
Watford,Liverpool,0,5
Liverpool,Manchester City,2,2
Tottenham,Aston Villa,2,1
Crystal Palace,Leicester,2,2
West Ham,Brentford,1,2
Brighton,Arsenal,0,0
Burnley,Norwich,0,0
Chelsea,Southampton,3,1
Leeds,Watford,1,0
Wolves,Newcastle,2,1
Manchester Utd,Everton,1,1
Crystal Palace,Brighton,1,1
Arsenal,Tottenham,3,1
Southampton,Wolves,0,1
Brentford,Liverpool,3,3
Everton,Norwich,2,0
Leeds,West Ham,1,2
Leicester,Burnley,2,2
Watford,Newcastle,1,1
Manchester Utd,Aston Villa,0,1
Chelsea,Manchester City,0,1
Tottenham,Chelsea,0,3
Brighton,Leicester,2,1
West Ham,Manchester Utd,1,2
Aston Villa,Everton,3,0
Burnley,Arsenal,0,1
Liverpool,Crystal Palace,3,0
Manchester City,Southampton,0,0
Norwich,Watford,1,3
Wolves,Brentford,0,2
Newcastle,Leeds,1,1
Everton,Burnley,3,1
Leeds,Liverpool,0,3
Chelsea,Aston Villa,3,0
Arsenal,Norwich,1,0
Brentford,Brighton,0,1
Leicester,Manchester City,0,1
Manchester Utd,Newcastle,4,1
Southampton,West Ham,0,0
Watford,Wolves,0,2
Crystal Palace,Tottenham,3,0
Wolves,Manchester Utd,0,1
Burnley,Leeds,1,1
Tottenham,Watford,1,0
Liverpool,Chelsea,1,1
Aston Villa,Brentford,1,1
Brighton,Everton,0,2
Newcastle,Southampton,2,2
Norwich,Leicester,1,2
West Ham,Crystal Palace,2,2
Manchester City,Arsenal,5,0
West Ham,Leicester,4,1
Arsenal,Chelsea,0,2
Southampton,Manchester Utd,1,1
Wolves,Tottenham,0,1
Brighton,Watford,2,0
Aston Villa,Newcastle,2,0
Crystal Palace,Brentford,0,0
Leeds,Everton,2,2
Manchester City,Norwich,5,0
Liverpool,Burnley,2,0
Tottenham,Manchester City,1,0
Newcastle,West Ham,2,4
Norwich,Liverpool,0,3
Burnley,Brighton,1,2
Chelsea,Crystal Palace,3,0
Everton,Southampton,3,1
Leicester,Wolves,1,0
Watford,Aston Villa,3,2
Manchester Utd,Leeds,5,1
Brentford,Arsenal,2,0
